,Date,Close
0,2021-02-05,945.2562255859375
1,2021-02-08,949.7574462890625
2,2021-02-09,918.2489624023438
3,2021-02-10,967.7622680664062
4,2021-02-11,967.7622680664062
5,2021-02-15,972.2633666992188
6,2021-02-16,958.7599487304688
7,2021-02-17,954.2587280273438
8,2021-02-18,981.2659912109375
9,2021-02-19,981.2659912109375
10,2021-02-22,1021.7769775390625
11,2021-02-23,1044.282958984375
12,2021-02-24,1048.784423828125
13,2021-02-25,1084.7940673828125
14,2021-02-26,1138.8087158203125
15,2021-03-01,1102.7989501953125
16,2021-03-02,1102.7989501953125
17,2021-03-03,1138.8087158203125
18,2021-03-04,1089.295166015625
19,2021-03-05,1057.7867431640625
20,2021-03-08,1066.7891845703125
21,2021-03-09,1048.784423828125
22,2021-03-10,1057.7867431640625
23,2021-03-12,1116.3023681640625
24,2021-03-15,1075.7916259765625
25,2021-03-16,1039.78173828125
26,2021-03-17,1012.7744750976562
27,2021-03-18,1030.7794189453125
28,2021-03-19,1035.2806396484375
29,2021-03-22,999.2708129882812
30,2021-03-23,990.2684326171875
31,2021-03-24,990.2684326171875
32,2021-03-25,990.2684326171875
33,2021-03-26,994.769775390625
34,2021-03-29,990.2684326171875
35,2021-03-30,990.2684326171875
36,2021-03-31,990.2684326171875
37,2021-04-01,990.2684326171875
38,2021-04-05,990.2684326171875
39,2021-04-06,990.2684326171875
40,2021-04-07,985.7670288085938
41,2021-04-08,976.7647094726562
42,2021-04-09,994.769775390625
43,2021-04-12,981.2659912109375
44,2021-04-13,1012.7744750976562
45,2021-04-14,1026.278076171875
46,2021-04-15,1003.7720336914062
47,2021-04-16,1021.7769775390625
48,2021-04-19,990.2684326171875
49,2021-04-20,990.2684326171875
50,2021-04-21,990.2684326171875
51,2021-04-22,990.2684326171875
52,2021-04-23,1003.7720336914062
53,2021-04-26,990.2684326171875
54,2021-04-27,994.769775390625
55,2021-04-28,994.769775390625
56,2021-04-29,1017.2755737304688
57,2021-04-30,1026.278076171875
58,2021-05-03,1008.2734375
59,2021-05-04,1003.7720336914062
60,2021-05-05,1012.7744750976562
61,2021-05-06,1053.285400390625
62,2021-05-07,1026.278076171875
63,2021-05-10,1075.7916259765625
64,2021-05-11,1066.7891845703125
65,2021-05-17,1030.7794189453125
66,2021-05-18,1057.7867431640625
67,2021-05-19,1057.7867431640625
68,2021-05-20,1080.2926025390625
69,2021-05-21,1084.7940673828125
70,2021-05-24,1102.7989501953125
71,2021-05-25,1098.297607421875
72,2021-05-27,1116.3023681640625
73,2021-05-28,1057.7867431640625
74,2021-05-31,1057.7867431640625
75,2021-06-02,1084.7940673828125
76,2021-06-03,1143.3096923828125
77,2021-06-04,1134.3074951171875
78,2021-06-07,1143.3096923828125
79,2021-06-08,1111.8013916015625
80,2021-06-09,1111.8013916015625
81,2021-06-10,1141.218994140625
82,2021-06-11,1127.469482421875
83,2021-06-14,1122.88623046875
84,2021-06-15,1118.30322265625
85,2021-06-16,1118.30322265625
86,2021-06-17,1086.220703125
87,2021-06-18,1118.30322265625
88,2021-06-21,1086.220703125
89,2021-06-22,1104.5535888671875
90,2021-06-23,1136.6358642578125
91,2021-06-24,1141.218994140625
92,2021-06-25,1127.469482421875
93,2021-06-28,1132.052734375
94,2021-06-29,1136.6358642578125
